gc,kind,pause_us,suspend_us,fixctx_us,roots_us,freach_us,handles_us,dep_us,after_us,weak_us,cards_us,card_regions,sweep_us,zero_us,zero_mb,marked_n,marked_mb,live_mb,committed_mb,win_n,win_ms,wait_ms,carve_ms,wzero_ms,blk_n,span_n,hole_n,clean_n,pause_a_us,window_us,pause_b_us,window_marked_n,bsusp_us,rescan_us,drain2_us,predrain_us,predrain_cards,predrain_passes,csweep_us,trim_us,pool_mb,bfresh_n,breo_n,bold_n,holes_mb,tail_mb,cls_n,clsfree_mb,spanreg_n,budget_mb,reason
0,young,517,12,2,374,0,7,0,0,34,4,0,70,0,0.0,1780,0.2,0.2,66.0,513,0.3,0.0,0.2,0.0,0,0,4,513,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,32,61.8,1.9,0,0.0,0,64.0,
1,young,335,8,1,168,0,2,1,0,6,96,32,48,9835,61.8,1508,0.1,0.3,66.0,1024,3.2,0.0,0.3,2.8,0,0,496,896,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,63.9,1.6,0,0.0,0,128.0,
2,young,722,7,1,264,0,2,1,0,30,327,33,85,11674,127.3,4345,0.3,0.7,132.0,2051,3.9,0.0,0.5,3.3,1,0,1010,1846,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,62,121.6,1.5,1,1.9,0,192.0,
3,young,1095,6,1,759,0,2,0,0,10,161,62,150,22728,254.9,1615,0.1,0.8,196.0,3593,7.9,0.1,0.7,7.0,1,0,1989,3128,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,97,191.9,1.1,1,1.9,0,320.0,
4,full-cycle,1513,14,555,0,0,0,0,0,17,6,0,24,44152,447.7,11605,0.9,0.9,324.0,6169,17.6,0.1,1.2,16.2,1,0,3539,5392,568,669,102,11472,10,49,14,0,0,0,168,0,0.0,1,1,159,318.0,1.9,1,1.9,0,320.0,starved
5,young,712,7,1,217,0,6,0,0,36,311,160,120,76635,765.6,4877,0.3,1.2,326.0,8735,25.9,0.1,1.6,24.0,1,0,6104,7621,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,162,318.9,2.9,1,1.9,0,512.0,
6,young,1673,12,2,716,0,5,1,0,24,344,162,500,83571,1086.2,8134,0.7,2.0,538.0,12847,31.3,0.5,4.9,25.3,2,0,8692,11606,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,265,509.1,19.7,2,3.8,0,512.0,
7,young,1879,864,4,421,0,6,0,0,22,281,264,222,1299012,1592.5,3194,0.2,2.2,538.0,16930,1208.7,0.6,6.0,1201.3,2,0,12801,12476,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,511.3,19.0,2,3.8,0,512.0,
8,young,1249,25,4,648,0,4,0,0,17,261,264,213,1368919,2100.0,1650,0.1,2.3,538.0,21012,1275.9,1.1,9.0,1264.8,2,0,16912,13072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,512.0,18.7,2,3.8,0,512.0,
9,young,1650,32,4,918,0,7,0,0,26,340,261,247,1384290,2611.4,16158,1.0,3.3,538.0,25074,1286.0,1.2,10.2,1273.3,2,0,21029,15583,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,510.7,18.6,2,3.8,0,512.0,
10,young,1754,96,4,401,0,4,1,0,241,590,267,334,1402610,3121.8,11459,0.7,4.0,538.0,29177,1296.9,1.4,11.6,1282.3,2,0,25163,18830,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,510.7,17.2,2,3.8,0,512.0,
11,young,1805,9,3,547,0,8,1,1,261,605,264,362,1421472,3632.6,10866,0.7,4.7,538.0,33265,1307.9,1.5,13.0,1291.5,2,0,29280,22078,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,511.1,16.4,2,3.8,0,512.0,
12,young,1529,14,3,385,0,36,1,0,129,539,259,383,1435361,4138.8,3995,0.4,5.1,538.0,37373,1313.9,1.6,14.0,1296.2,2,0,33428,25297,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,267,511.7,15.4,2,3.8,0,512.0,
13,young,1935,12,3,484,0,4,0,1,445,557,266,357,1451644,4650.3,15701,1.2,6.3,538.0,41494,1323.1,1.8,15.7,1303.1,2,0,37580,28659,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,266,510.0,15.0,2,3.8,0,512.0,
14,young,1126,8,4,362,0,8,1,0,95,319,248,324,1462427,5156.1,1942,0.1,6.4,540.0,45607,1327.4,1.8,16.6,1306.4,2,0,41719,31836,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,510.9,14.4,2,3.8,0,512.0,
15,young,1602,16,4,565,0,5,1,0,42,584,267,321,1473847,5667.0,4496,0.2,6.6,540.0,49749,1332.9,2.0,17.8,1310.0,2,0,45886,35316,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,511.8,13.2,2,3.8,0,512.0,
16,young,1602,11,3,576,0,9,1,0,61,570,267,341,1487519,6178.6,7106,0.3,6.9,540.0,53878,1339.3,2.2,19.1,1314.6,2,0,50040,38642,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,267,511.6,13.0,2,3.8,0,512.0,
17,young,2379,770,3,514,0,5,1,0,157,542,267,318,1508889,6690.1,7379,0.3,7.2,540.0,58027,1353.8,2.4,20.6,1326.9,2,0,54227,41884,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,266,511.3,12.4,2,3.8,0,512.0,
18,young,1609,148,4,454,0,4,0,0,163,503,263,303,1571983,7198.5,8980,0.5,7.7,540.0,62170,1414.0,2.9,23.4,1383.6,2,0,58403,42601,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,268,511.7,13.7,2,3.8,0,512.0,
19,young,1986,32,4,544,0,6,0,0,77,745,268,534,1610997,7710.1,7503,0.6,8.3,540.0,66303,1447.8,3.1,25.3,1414.4,2,0,62556,44807,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,268,509.7,13.4,2,3.8,0,512.0,
20,young,3143,26,7,966,0,10,1,0,359,903,268,742,1623483,8219.6,15650,1.1,9.4,544.0,70431,1450.9,3.3,26.8,1415.6,2,0,66740,48766,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,270,510.5,15.0,2,3.8,0,512.0,
21,young,2324,26,7,333,0,55,1,0,99,1241,268,548,1640322,8727.0,19644,2.9,12.3,548.0,74585,1458.4,3.4,28.0,1421.4,2,0,70939,51965,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,272,509.0,17.4,2,3.8,0,512.0,
22,young,2362,21,5,188,0,13,1,0,68,1350,272,682,1653579,9235.5,19869,1.8,14.1,554.0,78813,1463.7,3.6,29.2,1425.1,2,0,75147,55497,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,275,510.3,20.1,2,3.8,0,512.0,
23,young,2932,20,4,1583,0,11,1,0,62,666,275,526,1676094,9742.5,19186,1.7,15.8,558.0,83028,1480.1,3.8,30.7,1439.5,2,0,79401,57330,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,274,509.2,22.2,2,3.8,0,512.0,
24,young,2886,291,7,435,0,19,1,0,94,1133,277,858,1690808,10245.9,18769,1.9,17.7,558.0,87220,1486.1,3.9,31.8,1444.0,2,0,83638,60712,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,277,509.9,20.4,2,3.8,0,512.0,
25,young,1914,20,5,395,0,13,1,0,67,804,277,584,1704294,10755.9,11441,1.0,18.7,558.0,91466,1491.8,4.1,33.2,1447.8,2,0,87910,64345,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.8,18.1,2,3.8,0,512.0,
26,young,1905,18,4,559,0,19,1,0,153,504,276,624,1718588,11265.4,5344,1.6,20.3,588.0,95731,1499.8,4.4,35.0,1453.3,28,0,92200,68007,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,510.1,17.1,17,31.7,0,512.0,
27,young,2637,28,6,524,0,11,1,0,73,1197,277,744,1731174,11775.1,19376,2.0,22.4,588.0,100004,1504.9,4.7,36.2,1456.7,40,0,96482,71759,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.9,15.4,17,31.0,0,512.0,
28,young,2710,42,7,589,0,10,1,0,65,1306,277,644,1780052,12281.8,21277,2.0,24.4,588.0,104293,1550.9,5.1,38.7,1499.3,48,0,100782,72754,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,277,509.4,13.7,17,30.6,0,512.0,
29,young,2332,88,6,547,0,8,1,0,47,936,277,636,1833520,12789.1,17056,2.0,26.4,590.0,108605,1601.5,5.5,41.6,1546.3,62,0,105107,73378,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,278,509.6,13.7,17,29.8,0,512.0,
30,young,2810,56,6,713,0,10,1,0,53,1228,278,698,1886254,13296.5,21660,1.7,28.0,592.0,112944,1651.8,5.9,44.6,1592.9,62,0,109436,74149,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,279,510.3,12.7,17,29.8,0,512.0,
31,young,2567,53,3,654,0,12,7,0,59,1063,279,685,1921633,13805.9,16744,1.4,29.5,594.0,117305,1683.1,6.3,46.6,1621.5,66,0,113792,75290,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,279,510.1,11.2,17,29.5,0,512.0,
32,young,2954,178,7,660,0,10,1,0,66,1260,279,706,1967097,14312.9,20112,1.5,30.9,598.0,121661,1725.3,6.6,49.1,1660.3,66,0,118160,76167,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,282,510.3,15.1,17,29.5,0,512.0,
33,young,3150,50,6,854,0,10,1,0,64,1297,282,808,2023961,14820.1,20120,1.5,32.4,598.0,126033,1779.6,7.0,52.1,1710.6,66,0,122545,76596,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,282,509.9,13.4,17,29.5,0,512.0,
34,young,3100,34,6,808,0,9,1,1,58,1232,282,894,2071663,15327.9,18508,1.5,33.9,600.0,130425,1827.4,11.2,54.7,1751.3,68,0,126943,77751,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,282,510.0,11.2,17,29.4,0,512.0,
35,young,2814,166,4,644,0,11,1,0,80,1006,282,865,2105079,15837.8,14386,1.1,35.0,600.0,134848,1867.9,23.5,56.7,1777.1,68,0,131353,79148,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,283,510.6,11.2,17,29.4,0,512.0,
36,young,3462,76,7,656,0,10,1,0,62,1593,283,1006,2158452,16345.8,23815,1.8,36.7,602.0,139268,1918.1,23.9,59.5,1823.7,68,0,135783,80125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,284,509.8,11.5,17,29.4,0,512.0,
37,young,3276,180,6,756,0,8,1,0,56,1186,284,1024,2214916,16853.7,19757,1.5,38.2,606.0,143710,1971.6,24.4,62.4,1873.5,68,0,140233,80603,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,286,510.3,13.0,17,29.4,0,512.0,
38,young,3455,111,6,934,0,10,1,0,58,1311,286,970,2274481,17364.2,21830,1.6,39.8,614.0,148185,2037.0,31.3,68.7,1925.3,68,0,144699,81204,0,0,0,0,0,0,0,0,0,0,0,48,0.0,1,5,284,509.4,17.4,17,29.4,0,512.0,
39,young,3460,68,6,920,0,11,1,0,70,1291,289,1058,2318857,17871.5,16996,1.3,41.1,616.0,152654,2077.9,31.7,71.2,1962.9,68,0,149161,81942,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,290,510.4,16.9,17,29.4,0,512.0,
40,young,3152,20,4,769,0,13,1,1,82,1036,290,1213,2336325,18382.4,12231,1.0,42.1,616.0,157150,2088.1,31.8,72.5,1971.5,70,0,153662,84946,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,290,510.7,15.2,17,29.3,0,512.0,
41,young,3381,114,4,795,0,17,1,0,88,998,290,1308,2347644,18893.6,9703,0.7,42.8,616.0,161646,2091.1,32.0,73.4,1973.1,70,0,158168,89207,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,291,511.1,15.9,17,29.3,0,512.0,
42,young,4008,52,6,832,0,12,1,1,76,1778,291,1209,2396264,19402.4,19031,1.4,44.2,618.0,166145,2137.2,32.5,76.1,2015.7,70,0,162681,89638,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,292,510.0,17.0,17,29.3,0,512.0,
43,young,3452,101,4,822,0,11,1,0,73,1308,292,1094,2430492,19911.7,17063,1.2,45.5,620.0,170669,2167.6,32.8,78.3,2043.2,70,0,167204,90906,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,293,510.3,17.0,17,29.3,0,512.0,
44,young,3633,100,6,826,0,12,1,0,69,1468,293,1099,2491259,20420.0,22276,1.6,47.1,620.0,175202,2225.4,33.2,81.2,2097.3,70,0,171739,91518,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,293,509.8,15.2,17,29.3,0,512.0,
45,young,4127,83,5,912,0,14,1,0,84,1599,293,1361,2541954,20927.8,20058,1.5,48.5,622.0,179751,2351.1,79.8,115.2,2142.1,70,0,176295,92019,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,294,510.1,14.9,17,29.3,0,512.0,
46,young,4303,61,5,912,0,13,1,0,75,1771,294,1401,2603681,21436.2,23680,1.8,50.3,626.0,184323,2409.5,80.3,118.3,2196.5,70,0,180858,92799,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,296,511.6,15.0,17,29.3,0,512.0,
47,young,4503,44,6,1104,0,15,1,1,82,1558,296,1612,2659227,21942.5,19359,1.4,51.7,626.0,188892,2462.6,81.2,121.1,2245.5,70,0,185456,93430,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,296,510.0,14.5,17,29.3,0,512.0,
48,young,4066,160,4,868,0,13,1,0,80,1558,296,1301,2672119,22452.8,22446,1.6,53.3,630.0,193488,2469.9,82.7,123.4,2248.6,70,0,190051,97456,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,298,509.9,16.1,17,29.3,0,512.0,
49,young,4662,228,5,729,0,16,1,0,87,1702,298,1801,2728706,22959.7,21910,1.6,55.0,632.0,198089,2523.3,83.2,126.3,2298.2,70,0,194678,98125,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,299,509.8,16.0,17,29.3,0,512.0,
50,young,5019,46,5,1432,0,10,1,1,64,1579,299,1802,2780690,23465.4,19491,1.4,56.4,634.0,202696,2573.8,85.1,129.4,2343.4,70,0,199306,98757,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,300,510.1,15.7,17,29.3,0,512.0,
51,young,4540,165,6,581,0,11,1,0,57,2081,300,1589,2832161,23970.5,25951,2.0,58.3,636.0,207316,2621.6,85.4,132.4,2387.6,70,0,203959,99346,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,301,509.4,15.7,17,29.3,0,512.0,
52,young,4482,35,29,902,0,16,1,0,87,1547,301,1795,2882390,24477.1,21783,1.5,59.9,638.0,211977,2671.8,88.8,135.2,2431.1,70,0,208630,100050,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,302,510.0,15.0,17,29.3,0,512.0,
53,young,5199,27,7,1127,0,14,1,0,82,1994,302,1895,2941475,24983.2,24988,1.9,61.8,642.0,216644,2729.3,90.9,138.0,2483.4,70,0,213318,100326,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,304,509.6,16.9,17,29.3,0,512.0,
54,young,5098,57,8,1172,0,13,1,0,82,1750,304,1954,2985964,25491.7,22377,1.6,63.4,642.0,221354,2769.7,91.3,140.4,2520.4,70,0,218018,101585,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,304,509.8,14.4,17,29.3,0,512.0,
55,young,4803,27,6,1333,0,17,1,0,70,1461,304,1809,3026420,25999.2,18135,1.4,64.8,644.0,226074,2805.5,91.7,142.9,2552.9,70,0,222749,102696,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,304,510.0,12.1,17,29.3,0,512.8,
56,full-cycle,14886,34,1391,0,0,0,1,0,957,1726,539,992,3064017,26581.5,171824,17.9,17.9,1126.0,235604,2864.6,105.5,157.9,2582.5,70,0,228425,108448,1425,7410,3809,136776,33,945,106,0,0,0,2183,0,42.0,11,42,473,933.9,19.4,16,27.4,0,512.0,starved
57,young,4448,1312,6,537,13,16,1,1,109,1980,474,385,6382379,27019.5,33728,2.5,20.4,1126.0,239457,6106.8,127.8,167.9,5792.2,70,0,232318,108611,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,995.4,15.7,16,27.4,0,512.0,
58,young,3029,374,8,713,0,13,1,0,73,1292,498,487,6814844,27525.0,24772,3.3,23.7,1126.0,243878,6523.8,128.9,170.4,6205.4,102,0,236810,109619,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,1,523,989.4,15.7,16,25.5,0,512.0,
59,young,3141,112,6,596,0,12,1,1,60,1879,490,391,6851442,28062.0,26187,2.6,26.3,1126.0,248427,6556.1,131.1,172.8,6232.8,116,0,241392,111251,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,982.4,15.7,16,24.7,0,512.0,
60,young,2759,80,10,414,0,12,1,0,62,1606,453,522,6886768,28576.0,24872,1.9,28.2,1126.0,252809,6586.2,131.4,175.2,6259.5,118,0,245833,112746,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,977.1,15.7,16,24.6,0,512.0,
61,young,2985,199,6,501,0,12,1,0,63,1538,470,592,6920982,29097.7,22899,1.7,29.9,1126.0,257075,6623.1,138.8,177.9,6285.6,118,0,250149,114080,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,974.4,15.7,16,24.6,0,512.0,
62,young,3968,229,4,803,0,14,1,1,61,2032,474,758,6956012,29659.6,27619,2.3,32.2,1126.0,261540,6651.4,139.4,180.4,6310.4,122,0,254650,115245,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,969.7,15.7,16,24.3,0,512.0,
63,young,3231,245,12,638,0,10,1,0,58,1552,482,646,6987785,30138.9,28974,2.1,34.3,1126.0,265831,6677.8,139.7,182.4,6334.1,122,0,258976,116484,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,966.4,15.7,16,24.3,0,512.0,
64,young,3190,69,7,643,0,15,1,0,78,1708,493,605,7024152,30644.7,25239,1.9,36.2,1126.0,270135,6713.9,145.0,184.9,6361.9,122,0,263329,117869,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,963.6,15.7,16,24.3,0,512.0,
65,young,2642,58,7,645,0,11,1,1,59,1199,468,596,7047582,31101.9,20594,1.5,37.7,1126.0,274473,6734.4,146.6,187.1,6378.3,122,0,267701,119782,0,0,0,0,0,0,0,0,0,0,0,1,46.0,0,0,524,961.1,15.7,16,24.3,0,512.0,
66,young,3622,57,6,678,0,15,1,1,72,1923,481,800,7075126,31608.8,23000,1.7,39.4,1126.0,278793,6763.8,153.6,189.2,6398.1,122,0,272066,121611,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,958.4,15.7,16,24.3,0,512.0,
67,young,3507,130,6,626,0,14,1,0,59,1750,467,844,7109270,32141.7,25450,1.8,41.2,1126.0,283154,6792.2,154.6,191.6,6422.7,122,0,276474,123339,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,955.4,15.7,16,24.3,0,512.0,
68,young,3209,145,9,475,0,12,1,0,62,1506,479,907,7141897,32655.6,20134,1.5,42.7,1126.0,287488,6820.9,155.4,194.7,6447.1,122,0,280867,124542,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,953.0,15.7,16,24.3,0,512.0,
69,young,4066,460,9,529,0,15,1,0,77,1819,415,1078,7176403,33171.8,25386,1.9,44.6,1126.0,291937,6862.5,168.3,197.1,6473.2,122,0,285371,125859,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,950.1,15.7,16,24.3,0,512.0,
70,young,3835,56,7,997,0,12,1,0,64,1694,449,945,7203776,33645.2,24145,1.8,46.4,1126.0,296351,6884.7,168.6,199.3,6492.4,122,0,289826,127422,0,0,0,0,0,0,0,0,0,0,0,1,46.0,0,0,524,947.3,15.7,16,24.3,0,512.0,
71,young,3591,32,5,734,0,14,2,0,72,1600,433,1076,7226585,34169.5,21279,1.6,48.0,1126.0,300856,6901.8,169.3,201.5,6506.4,122,0,294358,129538,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,944.8,15.7,16,24.3,0,512.0,
72,young,3679,59,7,873,0,19,1,0,79,1456,410,1146,7245687,34684.8,19883,1.5,49.4,1126.0,305361,6913.9,169.5,203.0,6516.5,122,0,298899,132282,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,942.6,15.7,16,24.3,0,512.0,
73,young,3185,63,6,663,0,14,1,0,68,1240,411,1101,7258405,35212.4,17115,1.3,50.7,1126.0,309874,6917.5,169.7,204.0,6518.7,122,0,303426,136425,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,940.7,15.7,16,24.3,0,512.0,
74,young,3394,68,5,841,0,18,1,0,78,1292,474,1062,7272520,35860.7,14730,1.1,51.8,1126.0,314310,6920.1,169.9,204.9,6520.0,122,0,307873,140620,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,938.9,15.7,16,24.3,0,512.0,
75,young,3983,287,7,795,0,15,1,0,69,1558,450,1169,7287484,36552.4,19279,1.4,53.2,1126.0,318758,6925.3,172.5,206.3,6521.0,122,0,312372,144923,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,936.7,15.7,16,24.3,0,512.0,
76,young,3990,171,6,774,0,18,1,0,78,1742,460,1122,7301644,36876.6,23835,1.8,55.0,1126.0,323231,6937.0,174.8,208.6,6527.7,122,0,316887,148274,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,933.9,15.7,16,24.3,0,512.0,
77,young,3986,161,5,856,0,12,1,0,62,1686,478,1145,7318042,37334.6,29991,2.2,57.2,1126.0,327685,6947.4,175.1,210.6,6535.5,122,0,321387,151654,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,930.2,15.7,16,24.3,0,512.0,
78,young,3876,73,6,790,0,11,1,0,62,1515,489,1336,7341589,37803.0,22050,1.6,58.8,1126.0,332192,6964.9,175.4,212.3,6550.7,122,0,325925,153821,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,927.6,15.7,16,24.3,0,512.0,
79,young,4165,132,5,858,0,12,1,1,69,1766,467,1262,7361821,38321.0,25134,1.9,60.7,1126.0,336711,6979.8,177.2,214.1,6561.7,122,0,330469,156495,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,924.6,15.7,16,24.3,0,512.0,
80,young,4036,151,6,781,0,15,1,0,73,1646,456,1286,7385433,38799.2,24406,1.8,62.4,1126.0,341258,7005.1,182.4,219.2,6576.3,122,0,335066,158440,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,1,523,921.6,15.7,16,24.3,0,512.0,
81,young,4322,96,7,630,0,18,1,0,68,1968,481,1453,7411769,39299.0,23923,1.8,64.3,1126.0,345791,7034.1,190.7,221.5,6594.4,122,0,339635,160508,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,919.1,15.7,16,24.3,0,512.3,
82,young,4468,81,6,697,0,14,1,0,65,2033,505,1500,7436106,39809.1,34413,2.5,66.8,1126.0,350336,7052.7,191.0,224.0,6609.8,122,0,344238,162654,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,915.0,15.7,16,24.3,0,514.8,
83,young,4428,88,11,858,0,11,1,0,62,1718,485,1602,7458930,40377.4,29514,2.1,68.9,1126.0,354918,7067.5,191.2,225.8,6622.2,122,0,348866,165143,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,911.4,15.7,16,24.3,0,516.9,
84,young,4602,90,7,846,0,14,1,0,67,1848,472,1655,7485748,40880.1,27010,2.0,70.9,1126.0,359574,7089.5,191.6,229.0,6639.9,122,0,353574,167173,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,908.3,15.7,16,24.3,0,518.9,
85,young,4687,59,7,887,0,19,1,0,68,1936,440,1633,7507818,41347.1,26933,2.0,72.9,1126.0,364249,7105.5,191.9,231.2,6653.0,122,0,358295,169571,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,905.1,15.7,16,24.3,0,520.9,
86,young,4536,103,7,776,0,17,1,0,75,1791,508,1699,7531351,41868.6,30826,2.3,75.2,1126.0,368912,7123.2,192.1,234.0,6667.4,122,0,363001,172117,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,901.6,15.7,16,24.3,0,523.2,
87,young,4845,98,7,726,0,12,1,0,67,2026,480,1868,7558720,42442.5,36342,2.7,77.9,1126.0,373663,7154.0,203.1,236.2,6684.6,122,0,367806,174574,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,897.3,15.7,16,24.3,0,525.9,
88,young,4812,41,6,887,0,12,1,0,65,1813,472,1929,7575398,42963.9,33058,2.4,80.3,1126.0,378480,7162.6,203.4,237.8,6690.8,122,0,372686,178172,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,893.4,15.7,16,24.3,0,528.3,
89,young,5034,82,6,720,0,14,1,1,67,1850,447,2228,7592860,43474.5,24508,1.8,82.0,1126.0,383322,7172.3,203.6,240.1,6697.6,122,0,377580,181861,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,524,890.4,15.7,16,24.3,0,530.0,
90,full-cycle,15064,127,1412,0,0,0,1,0,132,1416,452,158,7623345,44327.2,157561,16.9,16.9,1126.0,392015,7200.8,207.9,244.2,6717.1,122,0,386199,186169,1539,9343,2708,129440,85,886,153,0,0,0,1404,0,130.0,13,20,449,881.4,12.1,16,27.6,0,512.0,promoted
91,young,2843,62,8,500,0,15,1,0,61,1726,453,397,7657275,44817.2,27622,4.3,21.1,1126.0,396483,7224.1,208.1,246.2,6737.9,168,0,390675,187763,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,915.2,10.2,16,24.9,0,512.0,
92,young,2827,92,7,588,0,12,1,0,56,1518,431,484,7681760,45346.5,26896,2.3,23.4,1126.0,401356,7239.2,208.6,248.1,6750.3,174,0,395603,190355,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,904.2,10.2,16,24.5,0,512.0,
93,young,3228,315,8,607,0,15,1,0,53,1646,419,500,7703799,45890.6,28046,2.1,25.5,1126.0,405747,7252.8,208.8,250.1,6761.3,174,0,400056,192855,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,898.7,10.2,16,24.5,0,512.0,
94,young,2752,171,6,524,0,11,1,0,53,1301,407,608,7721342,46452.3,27197,2.0,27.5,1126.0,410346,7261.3,209.2,251.8,6767.3,174,0,404716,196410,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,891.9,10.2,16,24.5,0,512.0,
95,young,3460,279,5,624,0,16,1,0,65,1669,399,722,7744780,47284.5,26550,2.0,29.4,1126.0,414711,7268.9,209.4,253.1,6773.1,174,0,409133,199648,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,888.7,10.2,16,24.5,0,512.0,
96,young,3697,38,8,812,0,20,1,0,71,1750,417,907,7762942,47794.6,23088,1.7,31.1,1126.0,419103,7274.4,209.7,254.4,6776.4,174,0,413575,203538,0,0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,481,885.0,10.2,16,24.5,0,512.0,
